"emp_no","birth_date","first_name","last_name","gender","hire_date","dept_no"
110022,"1956-09-12","Margareta","Markovitch","M","1985-01-01","d001"
110039,"1963-06-21","Vishwani","Minakawa","M","1986-04-12","d001"
110085,"1959-10-28","Ebru","Alpin","M","1985-01-01","d002"
110114,"1957-03-28","Isamu","Legleitner","F","1985-01-14","d002"
110183,"1953-06-24","Shirish","Ossenbruggen","F","1985-01-01","d003"
110228,"1958-12-02","Karsten","Sigstam","F","1985-08-04","d003"
110303,"1956-06-08","Krassimir","Wegerle","F","1985-01-01","d004"
110344,"1961-09-07","Rosine","Cools","F","1985-11-22","d004"
110386,"1953-10-04","Shem","Kieras","M","1988-10-14","d004"
110420,"1963-07-27","Oscar","Ghazalie","M","1992-02-05","d004"
110511,"1957-07-08","DeForest","Hagimont","M","1985-01-01","d005"
110567,"1964-04-25","Leon","DasSarma","F","1986-10-21","d005"
110725,"1961-03-14","Peternela","Onuegbe","F","1985-01-01","d006"
110765,"1954-05-22","Rutger","Hofmeyr","F","1989-01-07","d006"
110800,"1963-02-07","Sanjoy","Quadeer","F","1986-08-12","d006"
110854,"1960-08-19","Dung","Pesch","M","1989-06-09","d006"
111035,"1962-02-24","Przemyslawa","Kaelbling","M","1985-01-01","d007"
111133,"1955-03-16","Hauke","Zhang","M","1986-12-30","d007"
111400,"1959-11-09","Arie","Staelin","M","1985-01-01","d008"
111534,"1952-06-27","Hilary","Kambil","F","1988-01-31","d008"
111692,"1954-10-05","Tonny","Butterworth","F","1985-01-01","d009"
111784,"1956-06-14","Marjo","Giarratana","F","1988-02-12","d009"
111877,"1962-10-18","Xiaobin","Spinelli","F","1991-08-17","d009"
111939,"1960-03-25","Yuchang","Weedman","M","1989-07-10","d009"
